product_class,Month,sales_volume
C1006,2013-10-01,8783.0
C1006,2013-11-01,8598.0
C1006,2013-12-01,10825.0
C1006,2014-01-01,9039.0
C1006,2014-02-01,8293.0
C1006,2014-03-01,10075.0
C1006,2014-04-01,8618.0
C1006,2014-05-01,9012.0
C1006,2014-06-01,8913.0
C1006,2014-07-01,8552.0
C1006,2014-08-01,9883.0
C1006,2014-09-01,9303.0
C1006,2014-10-01,9625.0
C1006,2014-11-01,8470.0
C1006,2014-12-01,11348.0
C1006,2015-01-01,10259.0
C1006,2015-02-01,9604.0
C1006,2015-03-01,10551.0
C1006,2015-04-01,9724.0
C1006,2015-05-01,10537.0
C1006,2015-06-01,10498.0
C1006,2015-07-01,11548.0
C1006,2015-08-01,11691.0
C1006,2015-09-01,10618.0
C1006,2015-10-01,13561.0
C1006,2015-11-01,12445.0
C1006,2015-12-01,14069.0
C1006,2016-01-01,12374.0
C1006,2016-02-01,11522.0
C1006,2016-03-01,13313.0
C1006,2016-04-01,13465.0
C1006,2016-05-01,11944.0
C1006,2016-06-01,10934.0
C1006,2016-07-01,11263.0
C1006,2016-08-01,10253.0
C1006,2016-09-01,9975.0
C1006,2016-10-01,10676.0
C1006,2016-11-01,11513.0
C1006,2016-12-01,14035.0
C1006,2017-01-01,11807.0
C1006,2017-02-01,9881.0
C1006,2017-03-01,10718.0
C1006,2017-04-01,10190.0
C1006,2017-05-01,8633.0
C1006,2017-06-01,6654.0
C1006,2017-07-01,7959.0
C1008,2013-01-01,10909.0
C1008,2013-02-01,10325.0
C1008,2013-03-01,11929.0
C1008,2013-04-01,11365.0
C1008,2013-05-01,12028.0
C1008,2013-06-01,11804.0
C1008,2013-07-01,11560.0
C1008,2013-08-01,11431.0
C1008,2013-09-01,11732.0
C1008,2013-10-01,12044.0
C1008,2013-11-01,13000.0
C1008,2013-12-01,11508.0
C1008,2014-01-01,10631.0
C1008,2014-02-01,10615.0
C1008,2014-03-01,12219.0
C1008,2014-04-01,11407.0
C1008,2014-05-01,11761.0
C1008,2014-06-01,10115.0
C1008,2014-07-01,11005.0
C1008,2014-08-01,11960.0
C1008,2014-09-01,11924.0
C1008,2014-10-01,11771.0
C1008,2014-11-01,13374.0
C1008,2014-12-01,11312.0
C1008,2015-01-01,12189.0
C1008,2015-02-01,10911.0
C1008,2015-03-01,14286.0
C1008,2015-04-01,15127.0
C1008,2015-05-01,35981.0
C1008,2015-06-01,42928.0
C1008,2015-07-01,49714.0
C1008,2015-08-01,47961.0
C1008,2015-09-01,45294.0
C1008,2015-10-01,46633.0
C1008,2015-11-01,52107.0
C1008,2015-12-01,46019.0
C1008,2016-01-01,49839.0
C1008,2016-02-01,45292.0
C1008,2016-03-01,47134.0
C1008,2016-04-01,63797.0
C1008,2016-05-01,48930.0
C1008,2016-06-01,41396.0
C1008,2016-07-01,47495.0
C1008,2016-08-01,41126.0
C1008,2016-09-01,36128.0
C1008,2016-10-01,39904.0
C1008,2016-11-01,35643.0
C1008,2016-12-01,41855.0
C1008,2017-01-01,43485.0
C1008,2017-02-01,37335.0
C1008,2017-03-01,42070.0
C1008,2017-04-01,43215.0
C1008,2017-05-01,43846.0
C1008,2017-06-01,43125.0
