Month,Forecast
2017-08-01,13801.0
2017-09-01,12980.0
2017-10-01,13319.0
2017-11-01,16821.0
2017-12-01,42011.0
2018-01-01,17092.0
2018-02-01,11680.0
2018-03-01,17091.0
2018-04-01,19244.0
2018-05-01,18969.0
2018-06-01,18513.0
2018-07-01,23531.0
